"Step","desert-tree-2 - train/loss","desert-tree-2 - train/loss__MIN","desert-tree-2 - train/loss__MAX"
"0","6.1524","6.1524","6.1524"
"1","6.1524","6.1524","6.1524"
"2","6.2168","6.2168","6.2168"
"3","6.2168","6.2168","6.2168"
"4","6.2427","6.2427","6.2427"
"5","6.2427","6.2427","6.2427"
"6","6.1441","6.1441","6.1441"
"7","6.1441","6.1441","6.1441"
"8","6.1634","6.1634","6.1634"
"9","6.1634","6.1634","6.1634"
"10","6.1441","6.1441","6.1441"
"11","6.1441","6.1441","6.1441"
"12","6.1714","6.1714","6.1714"
"13","6.1714","6.1714","6.1714"
"14","6.1071","6.1071","6.1071"
"15","6.1071","6.1071","6.1071"
"16","6.149","6.149","6.149"
"17","6.149","6.149","6.149"
"18","6.0269","6.0269","6.0269"
"19","6.0269","6.0269","6.0269"
"20","6.0384","6.0384","6.0384"
"21","6.0384","6.0384","6.0384"
"22","6.0553","6.0553","6.0553"
"23","6.0553","6.0553","6.0553"
"24","6.0101","6.0101","6.0101"
"25","6.0101","6.0101","6.0101"
"26","5.9674","5.9674","5.9674"
"27","5.9674","5.9674","5.9674"
"28","5.8657","5.8657","5.8657"
"29","5.8657","5.8657","5.8657"
"30","5.9163","5.9163","5.9163"
"31","5.9163","5.9163","5.9163"
"32","5.8196","5.8196","5.8196"
"33","5.8196","5.8196","5.8196"
"34","5.7949","5.7949","5.7949"
"35","5.7949","5.7949","5.7949"
"36","5.6772","5.6772","5.6772"
"37","5.6772","5.6772","5.6772"
"38","5.7078","5.7078","5.7078"
"39","5.7078","5.7078","5.7078"
"40","5.6134","5.6134","5.6134"
"41","5.6134","5.6134","5.6134"
"42","5.6267","5.6267","5.6267"
"43","5.6267","5.6267","5.6267"
"44","5.5097","5.5097","5.5097"
"45","5.5097","5.5097","5.5097"
"46","5.5569","5.5569","5.5569"
"47","5.5569","5.5569","5.5569"
"48","5.5396","5.5396","5.5396"
"49","5.5396","5.5396","5.5396"
"50","5.2811","5.2811","5.2811"
"51","5.2811","5.2811","5.2811"
"52","5.1167","5.1167","5.1167"
"53","5.1167","5.1167","5.1167"
"54","5.0975","5.0975","5.0975"
"55","5.0975","5.0975","5.0975"
"56","5.0312","5.0312","5.0312"
"57","5.0312","5.0312","5.0312"
"58","5.0518","5.0518","5.0518"
"59","5.0518","5.0518","5.0518"
"60","4.8805","4.8805","4.8805"
"61","4.8805","4.8805","4.8805"
"62","4.9581","4.9581","4.9581"
"63","4.9581","4.9581","4.9581"
"64","4.5351","4.5351","4.5351"
"65","4.5351","4.5351","4.5351"
"66","4.8682","4.8682","4.8682"
"67","4.8682","4.8682","4.8682"
"68","4.5125","4.5125","4.5125"
"69","4.5125","4.5125","4.5125"
"70","4.5175","4.5175","4.5175"
"71","4.5175","4.5175","4.5175"
"72","4.2906","4.2906","4.2906"
"73","4.2906","4.2906","4.2906"
"74","4.4774","4.4774","4.4774"
"75","4.4774","4.4774","4.4774"
"76","4.5689","4.5689","4.5689"
"77","4.5689","4.5689","4.5689"
"78","4.4794","4.4794","4.4794"
"79","4.4794","4.4794","4.4794"
"80","4.0359","4.0359","4.0359"
"81","4.0359","4.0359","4.0359"
"82","4.2008","4.2008","4.2008"
"83","4.2008","4.2008","4.2008"
"84","4.714","4.714","4.714"
"85","4.714","4.714","4.714"
"86","4.363","4.363","4.363"
"87","4.363","4.363","4.363"
"88","4.3537","4.3537","4.3537"
"89","4.3537","4.3537","4.3537"
"90","4.2802","4.2802","4.2802"
"91","4.2802","4.2802","4.2802"
"92","3.8945","3.8945","3.8945"
"93","3.8945","3.8945","3.8945"
"94","4.1241","4.1241","4.1241"
"95","4.1241","4.1241","4.1241"
"96","3.8195","3.8195","3.8195"
"97","3.8195","3.8195","3.8195"
"98","4.2696","4.2696","4.2696"
"99","4.2696","4.2696","4.2696"
"100","3.6476","3.6476","3.6476"
"101","3.6476","3.6476","3.6476"
"102","3.96","3.96","3.96"
"103","3.96","3.96","3.96"
"104","4.1394","4.1394","4.1394"
"105","4.1394","4.1394","4.1394"
"106","4.2759","4.2759","4.2759"
"107","4.2759","4.2759","4.2759"
"108","3.8903","3.8903","3.8903"
"109","3.8903","3.8903","3.8903"
"110","4.0438","4.0438","4.0438"
"111","4.0438","4.0438","4.0438"
"112","4.0773","4.0773","4.0773"
"113","4.0773","4.0773","4.0773"
"114","4.1944","4.1944","4.1944"
"115","4.1944","4.1944","4.1944"
"116","3.7154","3.7154","3.7154"
"117","3.7154","3.7154","3.7154"
"118","3.8743","3.8743","3.8743"
"119","3.8743","3.8743","3.8743"
"120","4.0201","4.0201","4.0201"
"121","4.0201","4.0201","4.0201"
"122","4.1251","4.1251","4.1251"
"123","4.1251","4.1251","4.1251"
"124","4.0366","4.0366","4.0366"
"125","4.0366","4.0366","4.0366"
"126","3.7582","3.7582","3.7582"
"127","3.7582","3.7582","3.7582"
"128","3.7104","3.7104","3.7104"
"129","3.7104","3.7104","3.7104"
"130","3.7911","3.7911","3.7911"
"131","3.7911","3.7911","3.7911"
"132","3.7166","3.7166","3.7166"
"133","3.7166","3.7166","3.7166"
"134","3.9789","3.9789","3.9789"
"135","3.9789","3.9789","3.9789"
"136","3.8588","3.8588","3.8588"
"137","3.8588","3.8588","3.8588"
"138","3.6157","3.6157","3.6157"
"139","3.6157","3.6157","3.6157"
"140","3.7405","3.7405","3.7405"
"141","3.7405","3.7405","3.7405"
"142","3.9447","3.9447","3.9447"
"143","3.9447","3.9447","3.9447"
"144","3.8706","3.8706","3.8706"
"145","3.8706","3.8706","3.8706"
"146","3.5796","3.5796","3.5796"
"147","3.5796","3.5796","3.5796"
"148","4.0352","4.0352","4.0352"
"149","4.0352","4.0352","4.0352"
"150","3.4591","3.4591","3.4591"
"151","3.4591","3.4591","3.4591"
"152","3.3802","3.3802","3.3802"
"153","3.3802","3.3802","3.3802"
"154","3.8829","3.8829","3.8829"
"155","3.8829","3.8829","3.8829"
"156","3.6528","3.6528","3.6528"
"157","3.6528","3.6528","3.6528"
"158","3.5091","3.5091","3.5091"
"159","3.5091","3.5091","3.5091"
"160","3.5919","3.5919","3.5919"
"161","3.5919","3.5919","3.5919"
"162","3.8557","3.8557","3.8557"
"163","3.8557","3.8557","3.8557"
"164","3.7494","3.7494","3.7494"
"165","3.7494","3.7494","3.7494"
"166","3.5405","3.5405","3.5405"
"167","3.5405","3.5405","3.5405"
"168","3.387","3.387","3.387"
"169","3.387","3.387","3.387"
"170","3.5931","3.5931","3.5931"
"171","3.5931","3.5931","3.5931"
"172","3.9363","3.9363","3.9363"
"173","3.9363","3.9363","3.9363"
"174","3.5674","3.5674","3.5674"
"175","3.5674","3.5674","3.5674"
"176","3.6183","3.6183","3.6183"
"177","3.6183","3.6183","3.6183"
"178","3.4369","3.4369","3.4369"
"179","3.4369","3.4369","3.4369"
"180","3.3436","3.3436","3.3436"
"181","3.3436","3.3436","3.3436"
"182","3.6406","3.6406","3.6406"
"183","3.6406","3.6406","3.6406"
"184","3.8242","3.8242","3.8242"
"185","3.8242","3.8242","3.8242"
"186","3.8219","3.8219","3.8219"
"187","3.8219","3.8219","3.8219"
"188","3.6148","3.6148","3.6148"
"189","3.6148","3.6148","3.6148"
"190","3.3375","3.3375","3.3375"
"191","3.3375","3.3375","3.3375"
"192","3.7333","3.7333","3.7333"
"193","3.7333","3.7333","3.7333"
"194","3.6758","3.6758","3.6758"
"195","3.6758","3.6758","3.6758"
"196","3.2708","3.2708","3.2708"
"197","3.2708","3.2708","3.2708"
"198","3.6146","3.6146","3.6146"
"199","3.6146","3.6146","3.6146"
"200","3.8442","3.8442","3.8442"
"201","3.8442","3.8442","3.8442"
"202","3.7238","3.7238","3.7238"
"203","3.7238","3.7238","3.7238"
"204","3.4183","3.4183","3.4183"
"205","3.4183","3.4183","3.4183"
"206","4.0257","4.0257","4.0257"
"207","4.0257","4.0257","4.0257"
"208","3.8063","3.8063","3.8063"
"209","3.8063","3.8063","3.8063"
"210","3.7032","3.7032","3.7032"
"211","3.7032","3.7032","3.7032"
"212","3.5628","3.5628","3.5628"
"213","3.5628","3.5628","3.5628"
"214","3.6211","3.6211","3.6211"
"215","3.6211","3.6211","3.6211"
"216","3.7333","3.7333","3.7333"
"217","3.7333","3.7333","3.7333"
"218","3.3577","3.3577","3.3577"
"219","3.3577","3.3577","3.3577"
"220","3.5386","3.5386","3.5386"
"221","3.5386","3.5386","3.5386"
"222","3.4661","3.4661","3.4661"
"223","3.4661","3.4661","3.4661"
"224","3.6835","3.6835","3.6835"
"225","3.6835","3.6835","3.6835"
"226","3.8449","3.8449","3.8449"
"227","3.8449","3.8449","3.8449"
"228","3.5003","3.5003","3.5003"
"229","3.5003","3.5003","3.5003"
"230","3.5733","3.5733","3.5733"
"231","3.5733","3.5733","3.5733"
"232","3.3793","3.3793","3.3793"
"233","3.3793","3.3793","3.3793"
"234","3.5163","3.5163","3.5163"
"235","3.5163","3.5163","3.5163"
"236","3.4932","3.4932","3.4932"
"237","3.4932","3.4932","3.4932"
"238","3.3134","3.3134","3.3134"
"239","3.3134","3.3134","3.3134"
"240","3.3632","3.3632","3.3632"
"241","3.3632","3.3632","3.3632"
"242","3.8764","3.8764","3.8764"
"243","3.8764","3.8764","3.8764"
"244","3.8788","3.8788","3.8788"
"245","3.8788","3.8788","3.8788"
"246","3.7285","3.7285","3.7285"
"247","3.7285","3.7285","3.7285"
"248","3.2178","3.2178","3.2178"
"249","3.2178","3.2178","3.2178"
"250","3.2244","3.2244","3.2244"
"251","3.2244","3.2244","3.2244"
"252","3.8526","3.8526","3.8526"
"253","3.8526","3.8526","3.8526"
"254","3.5285","3.5285","3.5285"
"255","3.5285","3.5285","3.5285"
"256","3.694","3.694","3.694"
"257","3.694","3.694","3.694"
"258","3.6699","3.6699","3.6699"
"259","3.6699","3.6699","3.6699"
"260","3.3722","3.3722","3.3722"
"261","3.3722","3.3722","3.3722"
"262","3.5722","3.5722","3.5722"
"263","3.5722","3.5722","3.5722"
"264","3.3761","3.3761","3.3761"
"265","3.3761","3.3761","3.3761"
"266","3.5186","3.5186","3.5186"
"267","3.5186","3.5186","3.5186"
"268","3.4513","3.4513","3.4513"
"269","3.4513","3.4513","3.4513"
"270","3.5669","3.5669","3.5669"
"271","3.5669","3.5669","3.5669"
"272","3.1754","3.1754","3.1754"
"273","3.1754","3.1754","3.1754"
"274","3.7099","3.7099","3.7099"
"275","3.7099","3.7099","3.7099"
"276","3.33","3.33","3.33"
"277","3.33","3.33","3.33"
"278","3.3645","3.3645","3.3645"
"279","3.3645","3.3645","3.3645"
"280","3.638","3.638","3.638"
"281","3.638","3.638","3.638"
"282","3.4241","3.4241","3.4241"
"283","3.4241","3.4241","3.4241"
"284","3.3038","3.3038","3.3038"
"285","3.3038","3.3038","3.3038"
"286","3.529","3.529","3.529"
"287","3.529","3.529","3.529"
"288","3.5033","3.5033","3.5033"
"289","3.5033","3.5033","3.5033"
"290","3.4723","3.4723","3.4723"
"291","3.4723","3.4723","3.4723"
"292","3.4141","3.4141","3.4141"
"293","3.4141","3.4141","3.4141"
"294","3.3812","3.3812","3.3812"
"295","3.3812","3.3812","3.3812"
"296","3.4501","3.4501","3.4501"
"297","3.4501","3.4501","3.4501"
"298","3.458","3.458","3.458"
"299","3.458","3.458","3.458"
"300","3.5699","3.5699","3.5699"
"301","3.5699","3.5699","3.5699"
"302","3.444","3.444","3.444"
"303","3.444","3.444","3.444"
"304","3.4509","3.4509","3.4509"
"305","3.4509","3.4509","3.4509"
"306","3.3381","3.3381","3.3381"
"307","3.3381","3.3381","3.3381"
"308","3.5801","3.5801","3.5801"
"309","3.5801","3.5801","3.5801"
"310","3.4984","3.4984","3.4984"
"311","3.4984","3.4984","3.4984"
"312","3.3673","3.3673","3.3673"
"313","3.3673","3.3673","3.3673"
"314","3.6372","3.6372","3.6372"
"315","3.6372","3.6372","3.6372"
"316","3.3964","3.3964","3.3964"
"317","3.3964","3.3964","3.3964"
"318","3.3014","3.3014","3.3014"
"319","3.3014","3.3014","3.3014"
"320","3.3632","3.3632","3.3632"
"321","3.3632","3.3632","3.3632"
"322","3.4636","3.4636","3.4636"
"323","3.4636","3.4636","3.4636"
"324","3.4564","3.4564","3.4564"
"325","3.4564","3.4564","3.4564"
"326","3.3859","3.3859","3.3859"
"327","3.3859","3.3859","3.3859"
"328","3.5738","3.5738","3.5738"
"329","3.5738","3.5738","3.5738"
"330","3.7802","3.7802","3.7802"
"331","3.7802","3.7802","3.7802"
"332","3.765","3.765","3.765"
"333","3.765","3.765","3.765"
"334","3.6398","3.6398","3.6398"
"335","3.6398","3.6398","3.6398"
"336","3.2446","3.2446","3.2446"
"337","3.2446","3.2446","3.2446"
"338","3.6589","3.6589","3.6589"
"339","3.6589","3.6589","3.6589"
"340","3.3942","3.3942","3.3942"
"341","3.3942","3.3942","3.3942"
"342","3.3063","3.3063","3.3063"
"343","3.3063","3.3063","3.3063"
"344","3.5869","3.5869","3.5869"
"345","3.5869","3.5869","3.5869"
"346","3.5482","3.5482","3.5482"
"347","3.5482","3.5482","3.5482"
"348","3.2737","3.2737","3.2737"
"349","3.2737","3.2737","3.2737"
"350","3.3618","3.3618","3.3618"
"351","3.3618","3.3618","3.3618"
"352","2.908","2.908","2.908"
"353","2.908","2.908","2.908"
"354","3.216","3.216","3.216"
"355","3.216","3.216","3.216"
"356","3.4982","3.4982","3.4982"
"357","3.4982","3.4982","3.4982"
"358","3.1128","3.1128","3.1128"
"359","3.1128","3.1128","3.1128"
"360","3.2354","3.2354","3.2354"
"361","3.2354","3.2354","3.2354"
"362","3.6615","3.6615","3.6615"
"363","3.6615","3.6615","3.6615"
"364","3.2579","3.2579","3.2579"
"365","3.2579","3.2579","3.2579"
"366","2.9496","2.9496","2.9496"
"367","2.9496","2.9496","2.9496"
"368","3.3352","3.3352","3.3352"
"369","3.3352","3.3352","3.3352"
"370","3.1092","3.1092","3.1092"
"371","3.1092","3.1092","3.1092"
"372","3.3202","3.3202","3.3202"
"373","3.3202","3.3202","3.3202"
"374","3.3312","3.3312","3.3312"
"375","3.3312","3.3312","3.3312"
"376","3.1639","3.1639","3.1639"
"377","3.1639","3.1639","3.1639"
"378","3.372","3.372","3.372"
"379","3.372","3.372","3.372"
"380","3.3003","3.3003","3.3003"
"381","3.3003","3.3003","3.3003"
"382","3.4009","3.4009","3.4009"
"383","3.4009","3.4009","3.4009"
"384","3.2111","3.2111","3.2111"
"385","3.2111","3.2111","3.2111"
"386","3.4502","3.4502","3.4502"
"387","3.4502","3.4502","3.4502"
"388","3.5196","3.5196","3.5196"
"389","3.5196","3.5196","3.5196"
"390","3.649","3.649","3.649"
"391","3.649","3.649","3.649"
"392","3.3843","3.3843","3.3843"
"393","3.3843","3.3843","3.3843"
"394","3.3809","3.3809","3.3809"
"395","3.3809","3.3809","3.3809"
"396","3.0555","3.0555","3.0555"
"397","3.0555","3.0555","3.0555"
"398","3.5584","3.5584","3.5584"
"399","3.5584","3.5584","3.5584"
"400","3.2164","3.2164","3.2164"
"401","3.2164","3.2164","3.2164"
"402","3.287","3.287","3.287"
"403","3.287","3.287","3.287"
"404","3.8204","3.8204","3.8204"
"405","3.8204","3.8204","3.8204"
"406","3.5619","3.5619","3.5619"
"407","3.5619","3.5619","3.5619"
"408","3.3454","3.3454","3.3454"
"409","3.3454","3.3454","3.3454"
"410","3.1244","3.1244","3.1244"
"411","3.1244","3.1244","3.1244"
"412","3.4396","3.4396","3.4396"
"413","3.4396","3.4396","3.4396"
"414","3.2507","3.2507","3.2507"
"415","3.2507","3.2507","3.2507"
"416","3.0992","3.0992","3.0992"
"417","3.0992","3.0992","3.0992"
"418","3.6911","3.6911","3.6911"
"419","3.6911","3.6911","3.6911"
"420","3.2553","3.2553","3.2553"
"421","3.2553","3.2553","3.2553"
"422","3.54","3.54","3.54"
"423","3.54","3.54","3.54"
"424","3.3927","3.3927","3.3927"
"425","3.3927","3.3927","3.3927"
"426","3.5389","3.5389","3.5389"
"427","3.5389","3.5389","3.5389"
