group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,0.08,1.0,-1.5128,1.6728,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,0.08,1.0,-1.5128,1.6728,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.0,1.0,-1.5928,1.5928,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.24,0.9998,-1.8328,1.3528,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.36,0.9971,-1.2328,1.9528,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.24,0.9998,-1.8328,1.3528,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.04,1.0,-1.5528,1.6328,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,0.0,1.0,-1.5928,1.5928,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,-0.08,1.0,-1.6728,1.5128,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.32,0.9986,-1.9128,1.2728,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.28,0.9994,-1.3128,1.8728,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.32,0.9986,-1.9128,1.2728,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.04,1.0,-1.6328,1.5528,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,-0.08,1.0,-1.6728,1.5128,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.32,0.9986,-1.9128,1.2728,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.28,0.9994,-1.3128,1.8728,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.32,0.9986,-1.9128,1.2728,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.04,1.0,-1.6328,1.5528,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.24,0.9998,-1.8328,1.3528,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.36,0.9971,-1.2328,1.9528,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.24,0.9998,-1.8328,1.3528,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.04,1.0,-1.5528,1.6328,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.6,0.9435,-0.9928,2.1928,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,0.0,1.0,-1.5928,1.5928,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.28,0.9994,-1.3128,1.8728,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.6,0.9435,-2.1928,0.9928,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.32,0.9986,-1.9128,1.2728,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.28,0.9994,-1.3128,1.8728,False
