group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,-0.16,1.0,-1.5953,1.2753,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,-0.08,1.0,-1.5153,1.3553,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.12,1.0,-1.3153,1.5553,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.2,0.9999,-1.6353,1.2353,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.4,0.9896,-1.0353,1.8353,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.24,0.9996,-1.6753,1.1953,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.0,1.0,-1.4353,1.4353,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,0.08,1.0,-1.3553,1.5153,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.28,0.9989,-1.1553,1.7153,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.04,1.0,-1.4753,1.3953,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.56,0.9323,-0.8753,1.9953,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.08,1.0,-1.5153,1.3553,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.16,1.0,-1.2753,1.5953,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.2,0.9999,-1.2353,1.6353,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.12,1.0,-1.5553,1.3153,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.48,0.9702,-0.9553,1.9153,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.16,1.0,-1.5953,1.2753,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.08,1.0,-1.3553,1.5153,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.32,0.9974,-1.7553,1.1153,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.28,0.9989,-1.1553,1.7153,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.36,0.9945,-1.7953,1.0753,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.12,1.0,-1.5553,1.3153,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.6,0.9049,-0.8353,2.0353,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.04,1.0,-1.4753,1.3953,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.2,0.9999,-1.2353,1.6353,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.64,0.8712,-2.0753,0.7953,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.4,0.9896,-1.8353,1.0353,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.24,0.9996,-1.1953,1.6753,False
