"Step","splendid-sunset-3 - train/loss","splendid-sunset-3 - train/loss__MIN","splendid-sunset-3 - train/loss__MAX"
"0","6.6485","6.6485","6.6485"
"1","6.6485","6.6485","6.6485"
"2","6.8566","6.8566","6.8566"
"3","6.8566","6.8566","6.8566"
"4","6.7725","6.7725","6.7725"
"5","6.7725","6.7725","6.7725"
"6","6.8313","6.8313","6.8313"
"7","6.8313","6.8313","6.8313"
"8","6.6751","6.6751","6.6751"
"9","6.6751","6.6751","6.6751"
"10","6.6113","6.6113","6.6113"
"11","6.6113","6.6113","6.6113"
"12","6.7118","6.7118","6.7118"
"13","6.7118","6.7118","6.7118"
"14","6.6782","6.6782","6.6782"
"15","6.6782","6.6782","6.6782"
"16","6.6217","6.6217","6.6217"
"17","6.6217","6.6217","6.6217"
"18","6.4424","6.4424","6.4424"
"19","6.4424","6.4424","6.4424"
"20","6.5333","6.5333","6.5333"
"21","6.5333","6.5333","6.5333"
"22","6.5608","6.5608","6.5608"
"23","6.5608","6.5608","6.5608"
"24","6.4988","6.4988","6.4988"
"25","6.4988","6.4988","6.4988"
"26","6.5101","6.5101","6.5101"
"27","6.5101","6.5101","6.5101"
"28","6.2445","6.2445","6.2445"
"29","6.2445","6.2445","6.2445"
"30","6.3883","6.3883","6.3883"
"31","6.3883","6.3883","6.3883"
"32","6.2671","6.2671","6.2671"
"33","6.2671","6.2671","6.2671"
"34","6.2517","6.2517","6.2517"
"35","6.2517","6.2517","6.2517"
"36","6.1328","6.1328","6.1328"
"37","6.1328","6.1328","6.1328"
"38","6.0041","6.0041","6.0041"
"39","6.0041","6.0041","6.0041"
"40","5.9958","5.9958","5.9958"
"41","5.9958","5.9958","5.9958"
"42","5.9116","5.9116","5.9116"
"43","5.9116","5.9116","5.9116"
"44","5.8013","5.8013","5.8013"
"45","5.8013","5.8013","5.8013"
"46","5.7855","5.7855","5.7855"
"47","5.7855","5.7855","5.7855"
"48","5.8833","5.8833","5.8833"
"49","5.8833","5.8833","5.8833"
"50","5.6729","5.6729","5.6729"
"51","5.6729","5.6729","5.6729"
"52","5.4974","5.4974","5.4974"
"53","5.4974","5.4974","5.4974"
"54","5.5471","5.5471","5.5471"
"55","5.5471","5.5471","5.5471"
"56","5.4876","5.4876","5.4876"
"57","5.4876","5.4876","5.4876"
"58","5.4101","5.4101","5.4101"
"59","5.4101","5.4101","5.4101"
"60","5.2779","5.2779","5.2779"
"61","5.2779","5.2779","5.2779"
"62","5.2177","5.2177","5.2177"
"63","5.2177","5.2177","5.2177"
"64","4.8524","4.8524","4.8524"
"65","4.8524","4.8524","4.8524"
"66","5.1892","5.1892","5.1892"
"67","5.1892","5.1892","5.1892"
"68","4.8223","4.8223","4.8223"
"69","4.8223","4.8223","4.8223"
"70","4.7635","4.7635","4.7635"
"71","4.7635","4.7635","4.7635"
"72","4.5933","4.5933","4.5933"
"73","4.5933","4.5933","4.5933"
"74","4.7016","4.7016","4.7016"
"75","4.7016","4.7016","4.7016"
"76","5.1148","5.1148","5.1148"
"77","5.1148","5.1148","5.1148"
"78","4.8262","4.8262","4.8262"
"79","4.8262","4.8262","4.8262"
"80","4.2958","4.2958","4.2958"
"81","4.2958","4.2958","4.2958"
"82","4.4101","4.4101","4.4101"
"83","4.4101","4.4101","4.4101"
"84","4.9828","4.9828","4.9828"
"85","4.9828","4.9828","4.9828"
"86","4.4906","4.4906","4.4906"
"87","4.4906","4.4906","4.4906"
"88","4.5701","4.5701","4.5701"
"89","4.5701","4.5701","4.5701"
"90","4.448","4.448","4.448"
"91","4.448","4.448","4.448"
"92","4.2318","4.2318","4.2318"
"93","4.2318","4.2318","4.2318"
"94","4.2662","4.2662","4.2662"
"95","4.2662","4.2662","4.2662"
"96","4.0786","4.0786","4.0786"
"97","4.0786","4.0786","4.0786"
"98","4.5554","4.5554","4.5554"
"99","4.5554","4.5554","4.5554"
"100","3.846","3.846","3.846"
"101","3.846","3.846","3.846"
"102","4.034","4.034","4.034"
"103","4.034","4.034","4.034"
"104","4.2154","4.2154","4.2154"
"105","4.2154","4.2154","4.2154"
"106","4.326","4.326","4.326"
"107","4.326","4.326","4.326"
"108","3.9125","3.9125","3.9125"
"109","3.9125","3.9125","3.9125"
"110","3.9141","3.9141","3.9141"
"111","3.9141","3.9141","3.9141"
"112","4.0152","4.0152","4.0152"
"113","4.0152","4.0152","4.0152"
"114","4.116","4.116","4.116"
"115","4.116","4.116","4.116"
"116","3.6495","3.6495","3.6495"
"117","3.6495","3.6495","3.6495"
"118","3.8453","3.8453","3.8453"
"119","3.8453","3.8453","3.8453"
"120","3.9505","3.9505","3.9505"
"121","3.9505","3.9505","3.9505"
"122","4.0436","4.0436","4.0436"
"123","4.0436","4.0436","4.0436"
"124","3.9868","3.9868","3.9868"
"125","3.9868","3.9868","3.9868"
"126","3.7311","3.7311","3.7311"
"127","3.7311","3.7311","3.7311"
"128","3.6855","3.6855","3.6855"
"129","3.6855","3.6855","3.6855"
"130","3.7281","3.7281","3.7281"
"131","3.7281","3.7281","3.7281"
"132","3.6105","3.6105","3.6105"
"133","3.6105","3.6105","3.6105"
"134","3.9776","3.9776","3.9776"
"135","3.9776","3.9776","3.9776"
"136","3.8267","3.8267","3.8267"
"137","3.8267","3.8267","3.8267"
"138","3.5699","3.5699","3.5699"
"139","3.5699","3.5699","3.5699"
"140","3.5951","3.5951","3.5951"
"141","3.5951","3.5951","3.5951"
"142","3.7175","3.7175","3.7175"
"143","3.7175","3.7175","3.7175"
"144","3.7363","3.7363","3.7363"
"145","3.7363","3.7363","3.7363"
"146","3.5011","3.5011","3.5011"
"147","3.5011","3.5011","3.5011"
"148","3.9378","3.9378","3.9378"
"149","3.9378","3.9378","3.9378"
"150","3.3613","3.3613","3.3613"
"151","3.3613","3.3613","3.3613"
"152","3.1752","3.1752","3.1752"
"153","3.1752","3.1752","3.1752"
"154","3.7589","3.7589","3.7589"
"155","3.7589","3.7589","3.7589"
"156","3.5817","3.5817","3.5817"
"157","3.5817","3.5817","3.5817"
"158","3.3937","3.3937","3.3937"
"159","3.3937","3.3937","3.3937"
"160","3.5515","3.5515","3.5515"
"161","3.5515","3.5515","3.5515"
"162","3.7532","3.7532","3.7532"
"163","3.7532","3.7532","3.7532"
"164","3.6245","3.6245","3.6245"
"165","3.6245","3.6245","3.6245"
"166","3.5638","3.5638","3.5638"
"167","3.5638","3.5638","3.5638"
"168","3.4281","3.4281","3.4281"
"169","3.4281","3.4281","3.4281"
"170","3.6179","3.6179","3.6179"
"171","3.6179","3.6179","3.6179"
"172","3.7082","3.7082","3.7082"
"173","3.7082","3.7082","3.7082"
"174","3.4861","3.4861","3.4861"
"175","3.4861","3.4861","3.4861"
"176","3.5083","3.5083","3.5083"
"177","3.5083","3.5083","3.5083"
"178","3.3159","3.3159","3.3159"
"179","3.3159","3.3159","3.3159"
"180","3.3631","3.3631","3.3631"
"181","3.3631","3.3631","3.3631"
"182","3.5138","3.5138","3.5138"
"183","3.5138","3.5138","3.5138"
"184","3.7014","3.7014","3.7014"
"185","3.7014","3.7014","3.7014"
"186","3.6142","3.6142","3.6142"
"187","3.6142","3.6142","3.6142"
"188","3.4992","3.4992","3.4992"
"189","3.4992","3.4992","3.4992"
"190","3.2941","3.2941","3.2941"
"191","3.2941","3.2941","3.2941"
"192","3.7247","3.7247","3.7247"
"193","3.7247","3.7247","3.7247"
"194","3.6564","3.6564","3.6564"
"195","3.6564","3.6564","3.6564"
"196","3.1233","3.1233","3.1233"
"197","3.1233","3.1233","3.1233"
"198","3.5721","3.5721","3.5721"
"199","3.5721","3.5721","3.5721"
"200","3.8584","3.8584","3.8584"
"201","3.8584","3.8584","3.8584"
"202","3.6964","3.6964","3.6964"
"203","3.6964","3.6964","3.6964"
"204","3.3067","3.3067","3.3067"
"205","3.3067","3.3067","3.3067"
"206","3.8303","3.8303","3.8303"
"207","3.8303","3.8303","3.8303"
"208","3.7027","3.7027","3.7027"
"209","3.7027","3.7027","3.7027"
"210","3.5888","3.5888","3.5888"
"211","3.5888","3.5888","3.5888"
"212","3.5827","3.5827","3.5827"
"213","3.5827","3.5827","3.5827"
"214","3.6167","3.6167","3.6167"
"215","3.6167","3.6167","3.6167"
"216","3.6535","3.6535","3.6535"
