"Step","clean-durian-2 - train/grad_norm","clean-durian-2 - train/grad_norm__MIN","clean-durian-2 - train/grad_norm__MAX"
"0","18.33918571472168","18.33918571472168","18.33918571472168"
"1","18.33918571472168","18.33918571472168","18.33918571472168"
"2","17.47824478149414","17.47824478149414","17.47824478149414"
"3","17.47824478149414","17.47824478149414","17.47824478149414"
"4","17.917236328125","17.917236328125","17.917236328125"
"5","17.917236328125","17.917236328125","17.917236328125"
"6","18.93408966064453","18.93408966064453","18.93408966064453"
"7","18.93408966064453","18.93408966064453","18.93408966064453"
"8","16.900358200073242","16.900358200073242","16.900358200073242"
"9","16.900358200073242","16.900358200073242","16.900358200073242"
"10","17.93922996520996","17.93922996520996","17.93922996520996"
"11","17.93922996520996","17.93922996520996","17.93922996520996"
"12","18.38850212097168","18.38850212097168","18.38850212097168"
"13","18.38850212097168","18.38850212097168","18.38850212097168"
"14","17.908952713012695","17.908952713012695","17.908952713012695"
"15","17.908952713012695","17.908952713012695","17.908952713012695"
"16","18.46055793762207","18.46055793762207","18.46055793762207"
"17","18.46055793762207","18.46055793762207","18.46055793762207"
"18","16.29794692993164","16.29794692993164","16.29794692993164"
"19","16.29794692993164","16.29794692993164","16.29794692993164"
"20","16.57345199584961","16.57345199584961","16.57345199584961"
"21","16.57345199584961","16.57345199584961","16.57345199584961"
"22","16.715045928955078","16.715045928955078","16.715045928955078"
"23","16.715045928955078","16.715045928955078","16.715045928955078"
"24","17.58757209777832","17.58757209777832","17.58757209777832"
"25","17.58757209777832","17.58757209777832","17.58757209777832"
"26","16.368398666381836","16.368398666381836","16.368398666381836"
"27","16.368398666381836","16.368398666381836","16.368398666381836"
"28","14.013354301452637","14.013354301452637","14.013354301452637"
"29","14.013354301452637","14.013354301452637","14.013354301452637"
"30","16.841306686401367","16.841306686401367","16.841306686401367"
"31","16.841306686401367","16.841306686401367","16.841306686401367"
"32","14.418097496032715","14.418097496032715","14.418097496032715"
"33","14.418097496032715","14.418097496032715","14.418097496032715"
"34","15.743478775024414","15.743478775024414","15.743478775024414"
"35","15.743478775024414","15.743478775024414","15.743478775024414"
"36","15.443896293640137","15.443896293640137","15.443896293640137"
"37","15.443896293640137","15.443896293640137","15.443896293640137"
"38","15.819633483886719","15.819633483886719","15.819633483886719"
"39","15.819633483886719","15.819633483886719","15.819633483886719"
"40","14.107320785522461","14.107320785522461","14.107320785522461"
"41","14.107320785522461","14.107320785522461","14.107320785522461"
