"Step","clean-durian-2 - train/loss","clean-durian-2 - train/loss__MIN","clean-durian-2 - train/loss__MAX"
"0","6.239","6.239","6.239"
"1","6.239","6.239","6.239"
"2","6.2829","6.2829","6.2829"
"3","6.2829","6.2829","6.2829"
"4","6.2955","6.2955","6.2955"
"5","6.2955","6.2955","6.2955"
"6","6.2112","6.2112","6.2112"
"7","6.2112","6.2112","6.2112"
"8","6.2892","6.2892","6.2892"
"9","6.2892","6.2892","6.2892"
"10","6.2311","6.2311","6.2311"
"11","6.2311","6.2311","6.2311"
"12","6.3077","6.3077","6.3077"
"13","6.3077","6.3077","6.3077"
"14","6.1469","6.1469","6.1469"
"15","6.1469","6.1469","6.1469"
"16","6.1921","6.1921","6.1921"
"17","6.1921","6.1921","6.1921"
"18","6.1091","6.1091","6.1091"
"19","6.1091","6.1091","6.1091"
"20","6.1296","6.1296","6.1296"
"21","6.1296","6.1296","6.1296"
"22","6.1146","6.1146","6.1146"
"23","6.1146","6.1146","6.1146"
"24","6.0089","6.0089","6.0089"
"25","6.0089","6.0089","6.0089"
"26","5.9806","5.9806","5.9806"
"27","5.9806","5.9806","5.9806"
"28","5.9754","5.9754","5.9754"
"29","5.9754","5.9754","5.9754"
"30","5.8527","5.8527","5.8527"
"31","5.8527","5.8527","5.8527"
"32","5.8769","5.8769","5.8769"
"33","5.8769","5.8769","5.8769"
"34","5.7561","5.7561","5.7561"
"35","5.7561","5.7561","5.7561"
"36","5.7591","5.7591","5.7591"
"37","5.7591","5.7591","5.7591"
"38","5.6867","5.6867","5.6867"
"39","5.6867","5.6867","5.6867"
"40","5.5774","5.5774","5.5774"
"41","5.5774","5.5774","5.5774"
"42","5.6143","5.6143","5.6143"
"43","5.6143","5.6143","5.6143"
"44","5.4885","5.4885","5.4885"
"45","5.4885","5.4885","5.4885"
"46","5.5069","5.5069","5.5069"
"47","5.5069","5.5069","5.5069"
"48","5.4059","5.4059","5.4059"
"49","5.4059","5.4059","5.4059"
"50","5.3156","5.3156","5.3156"
"51","5.3156","5.3156","5.3156"
"52","5.085","5.085","5.085"
"53","5.085","5.085","5.085"
"54","5.0781","5.0781","5.0781"
"55","5.0781","5.0781","5.0781"
"56","4.9554","4.9554","4.9554"
"57","4.9554","4.9554","4.9554"
"58","5.0186","5.0186","5.0186"
"59","5.0186","5.0186","5.0186"
"60","4.8167","4.8167","4.8167"
"61","4.8167","4.8167","4.8167"
"62","4.8944","4.8944","4.8944"
"63","4.8944","4.8944","4.8944"
"64","4.3423","4.3423","4.3423"
"65","4.3423","4.3423","4.3423"
"66","4.7924","4.7924","4.7924"
"67","4.7924","4.7924","4.7924"
"68","4.4241","4.4241","4.4241"
"69","4.4241","4.4241","4.4241"
"70","4.4568","4.4568","4.4568"
"71","4.4568","4.4568","4.4568"
"72","4.1722","4.1722","4.1722"
"73","4.1722","4.1722","4.1722"
"74","4.374","4.374","4.374"
"75","4.374","4.374","4.374"
"76","4.6194","4.6194","4.6194"
"77","4.6194","4.6194","4.6194"
"78","4.4373","4.4373","4.4373"
"79","4.4373","4.4373","4.4373"
"80","3.9337","3.9337","3.9337"
"81","3.9337","3.9337","3.9337"
"82","4.1969","4.1969","4.1969"
"83","4.1969","4.1969","4.1969"
"84","4.7422","4.7422","4.7422"
"85","4.7422","4.7422","4.7422"
"86","4.2213","4.2213","4.2213"
"87","4.2213","4.2213","4.2213"
"88","4.2265","4.2265","4.2265"
"89","4.2265","4.2265","4.2265"
"90","4.1789","4.1789","4.1789"
"91","4.1789","4.1789","4.1789"
"92","3.95","3.95","3.95"
"93","3.95","3.95","3.95"
"94","4.0625","4.0625","4.0625"
"95","4.0625","4.0625","4.0625"
"96","3.8304","3.8304","3.8304"
"97","3.8304","3.8304","3.8304"
"98","4.2753","4.2753","4.2753"
"99","4.2753","4.2753","4.2753"
"100","3.6707","3.6707","3.6707"
"101","3.6707","3.6707","3.6707"
"102","3.8646","3.8646","3.8646"
"103","3.8646","3.8646","3.8646"
"104","4.1534","4.1534","4.1534"
"105","4.1534","4.1534","4.1534"
"106","4.0907","4.0907","4.0907"
"107","4.0907","4.0907","4.0907"
"108","3.7721","3.7721","3.7721"
"109","3.7721","3.7721","3.7721"
"110","3.8894","3.8894","3.8894"
"111","3.8894","3.8894","3.8894"
"112","3.8917","3.8917","3.8917"
"113","3.8917","3.8917","3.8917"
"114","4.0832","4.0832","4.0832"
"115","4.0832","4.0832","4.0832"
"116","3.624","3.624","3.624"
"117","3.624","3.624","3.624"
"118","3.7087","3.7087","3.7087"
"119","3.7087","3.7087","3.7087"
"120","3.8172","3.8172","3.8172"
"121","3.8172","3.8172","3.8172"
"122","3.9335","3.9335","3.9335"
"123","3.9335","3.9335","3.9335"
"124","3.8456","3.8456","3.8456"
"125","3.8456","3.8456","3.8456"
"126","3.6904","3.6904","3.6904"
"127","3.6904","3.6904","3.6904"
"128","3.5708","3.5708","3.5708"
"129","3.5708","3.5708","3.5708"
"130","3.68","3.68","3.68"
"131","3.68","3.68","3.68"
"132","3.514","3.514","3.514"
"133","3.514","3.514","3.514"
"134","3.9361","3.9361","3.9361"
"135","3.9361","3.9361","3.9361"
"136","3.7532","3.7532","3.7532"
"137","3.7532","3.7532","3.7532"
"138","3.5109","3.5109","3.5109"
"139","3.5109","3.5109","3.5109"
"140","3.547","3.547","3.547"
"141","3.547","3.547","3.547"
"142","3.7372","3.7372","3.7372"
"143","3.7372","3.7372","3.7372"
"144","3.8072","3.8072","3.8072"
"145","3.8072","3.8072","3.8072"
"146","3.5102","3.5102","3.5102"
"147","3.5102","3.5102","3.5102"
"148","3.8879","3.8879","3.8879"
"149","3.8879","3.8879","3.8879"
"150","3.3852","3.3852","3.3852"
"151","3.3852","3.3852","3.3852"
"152","3.2806","3.2806","3.2806"
"153","3.2806","3.2806","3.2806"
"154","3.7795","3.7795","3.7795"
"155","3.7795","3.7795","3.7795"
"156","3.499","3.499","3.499"
"157","3.499","3.499","3.499"
"158","3.318","3.318","3.318"
"159","3.318","3.318","3.318"
"160","3.51","3.51","3.51"
"161","3.51","3.51","3.51"
"162","3.7851","3.7851","3.7851"
"163","3.7851","3.7851","3.7851"
"164","3.651","3.651","3.651"
"165","3.651","3.651","3.651"
"166","3.4607","3.4607","3.4607"
"167","3.4607","3.4607","3.4607"
"168","3.3039","3.3039","3.3039"
"169","3.3039","3.3039","3.3039"
"170","3.5268","3.5268","3.5268"
"171","3.5268","3.5268","3.5268"
"172","3.7811","3.7811","3.7811"
"173","3.7811","3.7811","3.7811"
"174","3.4861","3.4861","3.4861"
"175","3.4861","3.4861","3.4861"
"176","3.5148","3.5148","3.5148"
"177","3.5148","3.5148","3.5148"
"178","3.3029","3.3029","3.3029"
"179","3.3029","3.3029","3.3029"
"180","3.295","3.295","3.295"
"181","3.295","3.295","3.295"
"182","3.5419","3.5419","3.5419"
"183","3.5419","3.5419","3.5419"
"184","3.7057","3.7057","3.7057"
"185","3.7057","3.7057","3.7057"
"186","3.6684","3.6684","3.6684"
"187","3.6684","3.6684","3.6684"
"188","3.4517","3.4517","3.4517"
"189","3.4517","3.4517","3.4517"
"190","3.2895","3.2895","3.2895"
"191","3.2895","3.2895","3.2895"
"192","3.6246","3.6246","3.6246"
"193","3.6246","3.6246","3.6246"
"194","3.5477","3.5477","3.5477"
"195","3.5477","3.5477","3.5477"
"196","3.1625","3.1625","3.1625"
"197","3.1625","3.1625","3.1625"
"198","3.5299","3.5299","3.5299"
"199","3.5299","3.5299","3.5299"
"200","3.8839","3.8839","3.8839"
"201","3.8839","3.8839","3.8839"
"202","3.7119","3.7119","3.7119"
"203","3.7119","3.7119","3.7119"
"204","3.2807","3.2807","3.2807"
"205","3.2807","3.2807","3.2807"
"206","3.9138","3.9138","3.9138"
"207","3.9138","3.9138","3.9138"
"208","3.7021","3.7021","3.7021"
"209","3.7021","3.7021","3.7021"
"210","3.5794","3.5794","3.5794"
"211","3.5794","3.5794","3.5794"
"212","3.47","3.47","3.47"
"213","3.47","3.47","3.47"
"214","3.604","3.604","3.604"
"215","3.604","3.604","3.604"
"216","3.6376","3.6376","3.6376"
"217","3.6376","3.6376","3.6376"
"218","3.3257","3.3257","3.3257"
"219","3.3257","3.3257","3.3257"
"220","3.4247","3.4247","3.4247"
"221","3.4247","3.4247","3.4247"
"222","3.4446","3.4446","3.4446"
"223","3.4446","3.4446","3.4446"
"224","3.623","3.623","3.623"
"225","3.623","3.623","3.623"
"226","3.7041","3.7041","3.7041"
"227","3.7041","3.7041","3.7041"
"228","3.4017","3.4017","3.4017"
"229","3.4017","3.4017","3.4017"
"230","3.5215","3.5215","3.5215"
"231","3.5215","3.5215","3.5215"
"232","3.3007","3.3007","3.3007"
"233","3.3007","3.3007","3.3007"
"234","3.4607","3.4607","3.4607"
"235","3.4607","3.4607","3.4607"
"236","3.3965","3.3965","3.3965"
"237","3.3965","3.3965","3.3965"
"238","3.2484","3.2484","3.2484"
"239","3.2484","3.2484","3.2484"
"240","3.3398","3.3398","3.3398"
"241","3.3398","3.3398","3.3398"
"242","3.8558","3.8558","3.8558"
"243","3.8558","3.8558","3.8558"
"244","3.8255","3.8255","3.8255"
"245","3.8255","3.8255","3.8255"
"246","3.6229","3.6229","3.6229"
"247","3.6229","3.6229","3.6229"
"248","3.1956","3.1956","3.1956"
"249","3.1956","3.1956","3.1956"
"250","3.1954","3.1954","3.1954"
"251","3.1954","3.1954","3.1954"
"252","3.742","3.742","3.742"
"253","3.742","3.742","3.742"
"254","3.4355","3.4355","3.4355"
"255","3.4355","3.4355","3.4355"
"256","3.6405","3.6405","3.6405"
"257","3.6405","3.6405","3.6405"
"258","3.5565","3.5565","3.5565"
"259","3.5565","3.5565","3.5565"
"260","3.2802","3.2802","3.2802"
"261","3.2802","3.2802","3.2802"
"262","3.502","3.502","3.502"
"263","3.502","3.502","3.502"
"264","3.2937","3.2937","3.2937"
"265","3.2937","3.2937","3.2937"
"266","3.4199","3.4199","3.4199"
"267","3.4199","3.4199","3.4199"
"268","3.3449","3.3449","3.3449"
"269","3.3449","3.3449","3.3449"
"270","3.4229","3.4229","3.4229"
"271","3.4229","3.4229","3.4229"
"272","3.1399","3.1399","3.1399"
"273","3.1399","3.1399","3.1399"
"274","3.5941","3.5941","3.5941"
"275","3.5941","3.5941","3.5941"
"276","3.2431","3.2431","3.2431"
"277","3.2431","3.2431","3.2431"
"278","3.2919","3.2919","3.2919"
"279","3.2919","3.2919","3.2919"
"280","3.589","3.589","3.589"
"281","3.589","3.589","3.589"
"282","3.3212","3.3212","3.3212"
"283","3.3212","3.3212","3.3212"
"284","3.1986","3.1986","3.1986"
"285","3.1986","3.1986","3.1986"
"286","3.4105","3.4105","3.4105"
"287","3.4105","3.4105","3.4105"
"288","3.4403","3.4403","3.4403"
"289","3.4403","3.4403","3.4403"
"290","3.3789","3.3789","3.3789"
"291","3.3789","3.3789","3.3789"
"292","3.3595","3.3595","3.3595"
"293","3.3595","3.3595","3.3595"
"294","3.2387","3.2387","3.2387"
"295","3.2387","3.2387","3.2387"
"296","3.425","3.425","3.425"
"297","3.425","3.425","3.425"
"298","3.3073","3.3073","3.3073"
"299","3.3073","3.3073","3.3073"
"300","3.4123","3.4123","3.4123"
"301","3.4123","3.4123","3.4123"
"302","3.3562","3.3562","3.3562"
"303","3.3562","3.3562","3.3562"
"304","3.3772","3.3772","3.3772"
"305","3.3772","3.3772","3.3772"
"306","3.2767","3.2767","3.2767"
"307","3.2767","3.2767","3.2767"
"308","3.4397","3.4397","3.4397"
"309","3.4397","3.4397","3.4397"
"310","3.4691","3.4691","3.4691"
"311","3.4691","3.4691","3.4691"
"312","3.2931","3.2931","3.2931"
"313","3.2931","3.2931","3.2931"
"314","3.5647","3.5647","3.5647"
"315","3.5647","3.5647","3.5647"
"316","3.2467","3.2467","3.2467"
"317","3.2467","3.2467","3.2467"
"318","3.2817","3.2817","3.2817"
"319","3.2817","3.2817","3.2817"
"320","3.28","3.28","3.28"
"321","3.28","3.28","3.28"
"322","3.3454","3.3454","3.3454"
"323","3.3454","3.3454","3.3454"
"324","3.3249","3.3249","3.3249"
"325","3.3249","3.3249","3.3249"
"326","3.2991","3.2991","3.2991"
"327","3.2991","3.2991","3.2991"
"328","3.4791","3.4791","3.4791"
"329","3.4791","3.4791","3.4791"
"330","3.62","3.62","3.62"
"331","3.62","3.62","3.62"
"332","3.5891","3.5891","3.5891"
"333","3.5891","3.5891","3.5891"
"334","3.4885","3.4885","3.4885"
"335","3.4885","3.4885","3.4885"
"336","3.1877","3.1877","3.1877"
"337","3.1877","3.1877","3.1877"
"338","3.5115","3.5115","3.5115"
"339","3.5115","3.5115","3.5115"
"340","3.277","3.277","3.277"
"341","3.277","3.277","3.277"
"342","3.1715","3.1715","3.1715"
"343","3.1715","3.1715","3.1715"
"344","3.5675","3.5675","3.5675"
"345","3.5675","3.5675","3.5675"
"346","3.3752","3.3752","3.3752"
"347","3.3752","3.3752","3.3752"
"348","3.1391","3.1391","3.1391"
"349","3.1391","3.1391","3.1391"
"350","3.2174","3.2174","3.2174"
"351","3.2174","3.2174","3.2174"
"352","2.8005","2.8005","2.8005"
"353","2.8005","2.8005","2.8005"
"354","3.1308","3.1308","3.1308"
"355","3.1308","3.1308","3.1308"
"356","3.384","3.384","3.384"
"357","3.384","3.384","3.384"
"358","2.9551","2.9551","2.9551"
"359","2.9551","2.9551","2.9551"
"360","3.1653","3.1653","3.1653"
"361","3.1653","3.1653","3.1653"
"362","3.5786","3.5786","3.5786"
"363","3.5786","3.5786","3.5786"
"364","3.2056","3.2056","3.2056"
"365","3.2056","3.2056","3.2056"
"366","2.9738","2.9738","2.9738"
"367","2.9738","2.9738","2.9738"
"368","3.2618","3.2618","3.2618"
"369","3.2618","3.2618","3.2618"
"370","3.0293","3.0293","3.0293"
"371","3.0293","3.0293","3.0293"
"372","3.23","3.23","3.23"
"373","3.23","3.23","3.23"
"374","3.2785","3.2785","3.2785"
"375","3.2785","3.2785","3.2785"
"376","3.0543","3.0543","3.0543"
"377","3.0543","3.0543","3.0543"
"378","3.237","3.237","3.237"
"379","3.237","3.237","3.237"
"380","3.1796","3.1796","3.1796"
"381","3.1796","3.1796","3.1796"
"382","3.3269","3.3269","3.3269"
"383","3.3269","3.3269","3.3269"
"384","3.1277","3.1277","3.1277"
"385","3.1277","3.1277","3.1277"
"386","3.3688","3.3688","3.3688"
"387","3.3688","3.3688","3.3688"
"388","3.3531","3.3531","3.3531"
"389","3.3531","3.3531","3.3531"
"390","3.455","3.455","3.455"
"391","3.455","3.455","3.455"
"392","3.2306","3.2306","3.2306"
"393","3.2306","3.2306","3.2306"
"394","3.2724","3.2724","3.2724"
"395","3.2724","3.2724","3.2724"
"396","2.9428","2.9428","2.9428"
"397","2.9428","2.9428","2.9428"
"398","3.4017","3.4017","3.4017"
"399","3.4017","3.4017","3.4017"
"400","3.1048","3.1048","3.1048"
"401","3.1048","3.1048","3.1048"
"402","3.1623","3.1623","3.1623"
"403","3.1623","3.1623","3.1623"
"404","3.6183","3.6183","3.6183"
"405","3.6183","3.6183","3.6183"
"406","3.3602","3.3602","3.3602"
"407","3.3602","3.3602","3.3602"
"408","3.2045","3.2045","3.2045"
"409","3.2045","3.2045","3.2045"
"410","2.9987","2.9987","2.9987"
"411","2.9987","2.9987","2.9987"
"412","3.277","3.277","3.277"
"413","3.277","3.277","3.277"
"414","3.139","3.139","3.139"
"415","3.139","3.139","3.139"
"416","2.9392","2.9392","2.9392"
"417","2.9392","2.9392","2.9392"
"418","3.5931","3.5931","3.5931"
"419","3.5931","3.5931","3.5931"
"420","3.1329","3.1329","3.1329"
"421","3.1329","3.1329","3.1329"
"422","3.3816","3.3816","3.3816"
"423","3.3816","3.3816","3.3816"
"424","3.3348","3.3348","3.3348"
"425","3.3348","3.3348","3.3348"
"426","3.4322","3.4322","3.4322"
"427","3.4322","3.4322","3.4322"
"428","3.1583","3.1583","3.1583"
"429","3.1583","3.1583","3.1583"
"430","3.0399","3.0399","3.0399"
"431","3.0399","3.0399","3.0399"
"432","3.2298","3.2298","3.2298"
"433","3.2298","3.2298","3.2298"
"434","3.4067","3.4067","3.4067"
"435","3.4067","3.4067","3.4067"
"436","3.3977","3.3977","3.3977"
"437","3.3977","3.3977","3.3977"
"438","3.1227","3.1227","3.1227"
"439","3.1227","3.1227","3.1227"
"440","3.1507","3.1507","3.1507"
"441","3.1507","3.1507","3.1507"
"442","3.3513","3.3513","3.3513"
"443","3.3513","3.3513","3.3513"
"444","3.2851","3.2851","3.2851"
"445","3.2851","3.2851","3.2851"
"446","3.0123","3.0123","3.0123"
"447","3.0123","3.0123","3.0123"
"448","3.0037","3.0037","3.0037"
"449","3.0037","3.0037","3.0037"
"450","3.025","3.025","3.025"
"451","3.025","3.025","3.025"
"452","3.0159","3.0159","3.0159"
"453","3.0159","3.0159","3.0159"
"454","3.3665","3.3665","3.3665"
"455","3.3665","3.3665","3.3665"
"456","3.1747","3.1747","3.1747"
"457","3.1747","3.1747","3.1747"
"458","3.1697","3.1697","3.1697"
"459","3.1697","3.1697","3.1697"
"460","3.4288","3.4288","3.4288"
"461","3.4288","3.4288","3.4288"
"462","3.157","3.157","3.157"
"463","3.157","3.157","3.157"
"464","3.221","3.221","3.221"
"465","3.221","3.221","3.221"
"466","3.0405","3.0405","3.0405"
"467","3.0405","3.0405","3.0405"
"468","3.2832","3.2832","3.2832"
"469","3.2832","3.2832","3.2832"
"470","3.2381","3.2381","3.2381"
"471","3.2381","3.2381","3.2381"
"472","3.3836","3.3836","3.3836"
"473","3.3836","3.3836","3.3836"
"474","2.875","2.875","2.875"
"475","2.875","2.875","2.875"
"476","3.1044","3.1044","3.1044"
"477","3.1044","3.1044","3.1044"
"478","3.2904","3.2904","3.2904"
"479","3.2904","3.2904","3.2904"
"480","3.2341","3.2341","3.2341"
"481","3.2341","3.2341","3.2341"
"482","3.0921","3.0921","3.0921"
"483","3.0921","3.0921","3.0921"
