"Step","clear-eon-65 - train/loss","clear-eon-65 - train/loss__MIN","clear-eon-65 - train/loss__MAX"
"0","6.1059","6.1059","6.1059"
"1","6.1059","6.1059","6.1059"
"2","6.1738","6.1738","6.1738"
"3","6.1738","6.1738","6.1738"
"4","6.0753","6.0753","6.0753"
"5","6.0753","6.0753","6.0753"
"6","5.9771","5.9771","5.9771"
"7","5.9771","5.9771","5.9771"
"8","6.1363","6.1363","6.1363"
"9","6.1363","6.1363","6.1363"
"10","6.0561","6.0561","6.0561"
"11","6.0561","6.0561","6.0561"
"12","6.0065","6.0065","6.0065"
"13","6.0065","6.0065","6.0065"
"14","5.9052","5.9052","5.9052"
"15","5.9052","5.9052","5.9052"
"16","5.923","5.923","5.923"
"17","5.923","5.923","5.923"
"18","5.9509","5.9509","5.9509"
"19","5.9509","5.9509","5.9509"
"20","5.8392","5.8392","5.8392"
"21","5.8392","5.8392","5.8392"
"22","5.9399","5.9399","5.9399"
"23","5.9399","5.9399","5.9399"
"24","5.7999","5.7999","5.7999"
"25","5.7999","5.7999","5.7999"
"26","5.8821","5.8821","5.8821"
"27","5.8821","5.8821","5.8821"
"28","5.8663","5.8663","5.8663"
"29","5.8663","5.8663","5.8663"
"30","5.701","5.701","5.701"
"31","5.701","5.701","5.701"
"32","5.8554","5.8554","5.8554"
"33","5.8554","5.8554","5.8554"
"34","5.6033","5.6033","5.6033"
"35","5.6033","5.6033","5.6033"
"36","5.6573","5.6573","5.6573"
"37","5.6573","5.6573","5.6573"
"38","5.5918","5.5918","5.5918"
"39","5.5918","5.5918","5.5918"
"40","5.6074","5.6074","5.6074"
"41","5.6074","5.6074","5.6074"
"42","5.5505","5.5505","5.5505"
"43","5.5505","5.5505","5.5505"
"44","5.5373","5.5373","5.5373"
"45","5.5373","5.5373","5.5373"
"46","5.4634","5.4634","5.4634"
"47","5.4634","5.4634","5.4634"
"48","5.409","5.409","5.409"
"49","5.409","5.409","5.409"
"50","5.3491","5.3491","5.3491"
"51","5.3491","5.3491","5.3491"
"52","5.2166","5.2166","5.2166"
"53","5.2166","5.2166","5.2166"
"54","5.348","5.348","5.348"
"55","5.348","5.348","5.348"
"56","5.144","5.144","5.144"
"57","5.144","5.144","5.144"
"58","5.1821","5.1821","5.1821"
"59","5.1821","5.1821","5.1821"
"60","5.139","5.139","5.139"
"61","5.139","5.139","5.139"
"62","4.993","4.993","4.993"
"63","4.993","4.993","4.993"
"64","4.8305","4.8305","4.8305"
"65","4.8305","4.8305","4.8305"
"66","5.0367","5.0367","5.0367"
"67","5.0367","5.0367","5.0367"
"68","4.7786","4.7786","4.7786"
"69","4.7786","4.7786","4.7786"
"70","4.8627","4.8627","4.8627"
"71","4.8627","4.8627","4.8627"
"72","4.6579","4.6579","4.6579"
"73","4.6579","4.6579","4.6579"
"74","4.6679","4.6679","4.6679"
"75","4.6679","4.6679","4.6679"
"76","4.7763","4.7763","4.7763"
"77","4.7763","4.7763","4.7763"
"78","4.6012","4.6012","4.6012"
"79","4.6012","4.6012","4.6012"
"80","4.2317","4.2317","4.2317"
"81","4.2317","4.2317","4.2317"
"82","4.4189","4.4189","4.4189"
"83","4.4189","4.4189","4.4189"
"84","4.8284","4.8284","4.8284"
"85","4.8284","4.8284","4.8284"
"86","4.4701","4.4701","4.4701"
"87","4.4701","4.4701","4.4701"
"88","4.4446","4.4446","4.4446"
"89","4.4446","4.4446","4.4446"
"90","4.3875","4.3875","4.3875"
"91","4.3875","4.3875","4.3875"
"92","4.1241","4.1241","4.1241"
"93","4.1241","4.1241","4.1241"
"94","4.2632","4.2632","4.2632"
"95","4.2632","4.2632","4.2632"
"96","3.9721","3.9721","3.9721"
"97","3.9721","3.9721","3.9721"
"98","4.4054","4.4054","4.4054"
"99","4.4054","4.4054","4.4054"
"100","3.7713","3.7713","3.7713"
"101","3.7713","3.7713","3.7713"
"102","4.0812","4.0812","4.0812"
"103","4.0812","4.0812","4.0812"
"104","4.1714","4.1714","4.1714"
"105","4.1714","4.1714","4.1714"
